Year,period,code,carrier,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2009,12,UA,United Air Lines Inc.,393,77,17,3,30,0,27,11,1,4709,1055,255,1360,0,2039
2009,12,WN,Southwest Airlines Co.,1357,335,96,10,54,1,175,24,4,16447,4085,721,2339,50,9253
2010,1,AA,American Airlines Inc.,590,103,36,5,35,0,27,15,2,5341,2074,314,1354,30,1569
2010,1,B6,JetBlue Airways,361,86,24,1,30,0,31,5,1,5712,1614,73,1590,8,2427
2010,1,DL,Delta Air Lines Inc.,518,85,27,4,36,0,18,11,1,4826,1782,381,1501,5,1158
2010,1,UA,United Air Lines Inc.,375,55,13,1,22,0,18,6,1,3037,795,74,956,1,1211
2010,1,WN,Southwest Airlines Co.,1325,235,70,8,42,2,114,26,3,10836,2867,516,1697,42,5714
2010,2,AA,American Airlines Inc.,535,112,37,7,39,0,29,29,1,6388,2256,496,1784,3,1849
2010,2,B6,JetBlue Airways,340,90,27,3,30,1,30,19,1,5533,1518,347,1508,17,2144
2010,2,DL,Delta Air Lines Inc.,495,96,30,4,37,0,24,29,1,5418,1940,393,1471,8,1606
2010,2,UA,United Air Lines Inc.,348,51,12,1,19,0,18,20,1,2794,679,97,818,0,1200
2010,2,WN,Southwest Airlines Co.,1213,184,55,6,32,1,90,57,3,8693,2234,446,1377,24,4611
2010,3,AA,American Airlines Inc.,599,134,41,9,47,0,36,7,2,7783,2587,592,2177,3,2423
2010,3,B6,JetBlue Airways,394,98,32,0,34,0,32,11,1,6150,2088,29,1640,16,2376
2010,3,DL,Delta Air Lines Inc.,580,104,34,3,40,0,26,9,2,6010,2210,303,1650,3,1845
2010,3,UA,United Air Lines Inc.,396,57,13,1,21,0,22,6,1,3246,784,57,982,0,1423
2010,3,WN,Southwest Airlines Co.,1403,262,85,5,38,1,132,12,3,12071,3555,414,1510,36,6556
2010,4,AA,American Airlines Inc.,566,89,33,4,28,0,24,4,2,4945,2010,254,1181,3,1497
2010,4,B6,JetBlue Airways,374,52,17,1,17,0,17,2,1,2888,1046,100,725,5,1012
2010,4,DL,Delta Air Lines Inc.,539,80,27,2,32,0,18,3,1,4017,1628,141,1163,2,1083
2010,4,UA,United Air Lines Inc.,381,41,10,1,14,0,15,3,1,2318,626,61,633,14,983
2010,4,WN,Southwest Airlines Co.,1384,205,69,4,29,1,103,8,2,8704,2756,296,1011,38,4603
2010,5,AA,American Airlines Inc.,607,128,37,7,47,0,37,11,3,7704,2255,548,2365,3,2533
2010,5,B6,JetBlue Airways,350,56,17,1,23,0,14,4,1,3288,1095,78,1216,5,894
2010,5,DL,Delta Air Lines Inc.,558,128,39,4,53,0,32,6,2,7123,2354,387,2249,2,2131
2010,5,UA,United Air Lines Inc.,412,57,12,2,22,0,22,4,1,3762,858,154,1137,0,1613
2010,5,WN,Southwest Airlines Co.,1409,265,76,7,42,1,140,9,3,12806,3300,609,1664,23,7210
2010,6,AA,American Airlines Inc.,583,136,41,7,48,0,40,13,4,8119,2557,569,2248,2,2742
2010,6,B6,JetBlue Airways,356,63,20,1,22,0,19,3,1,3917,1371,94,1129,1,1322
2010,6,DL,Delta Air Lines Inc.,533,148,51,5,49,0,43,10,2,8325,3051,386,2120,2,2766
2010,6,UA,United Air Lines Inc.,413,77,17,2,27,0,32,6,2,5115,1096,173,1497,0,2350
2010,6,WN,Southwest Airlines Co.,1405,294,88,12,41,1,153,6,3,15375,3825,938,1926,17,8668
2010,7,AA,American Airlines Inc.,603,130,42,7,43,0,37,7,3,7265,2714,421,1779,2,2348
2010,7,B6,JetBlue Airways,387,93,33,1,28,0,30,2,1,5813,2102,133,1487,3,2090
2010,7,DL,Delta Air Lines Inc.,583,158,57,5,48,0,48,15,2,9497,3519,420,2259,5,3295
2010,7,UA,United Air Lines Inc.,428,66,16,3,20,0,27,5,2,4218,1078,178,980,0,1983
2010,7,WN,Southwest Airlines Co.,1433,300,95,9,41,1,154,6,4,14913,4093,637,1847,44,8292
2010,8,AA,American Airlines Inc.,602,109,40,5,33,0,31,5,2,6347,2696,326,1347,6,1972
2010,8,B6,JetBlue Airways,377,83,30,1,26,0,27,2,1,5086,1887,88,1302,6,1805
2010,8,DL,Delta Air Lines Inc.,568,118,40,2,42,0,35,9,1,6402,2324,217,1778,1,2081
2010,8,UA,United Air Lines Inc.,426,58,13,1,18,0,25,5,1,3424,842,86,894,0,1602
2010,8,WN,Southwest Airlines Co.,1415,243,77,6,36,1,123,5,2,10848,3094,422,1449,22,5862
2010,9,AA,American Airlines Inc.,564,87,27,6,30,0,23,4,2,4696,1706,321,1329,5,1335
2010,9,B6,JetBlue Airways,344,68,21,1,27,0,18,4,1,4279,1480,117,1427,2,1253
2010,9,DL,Delta Air Lines Inc.,519,90,27,1,39,0,23,5,1,4231,1483,93,1380,1,1273
2010,9,UA,United Air Lines Inc.,401,38,9,1,16,0,13,2,1,2070,564,55,710,4,737
2010,9,WN,Southwest Airlines Co.,1326,182,52,4,37,0,89,7,1,7428,2029,234,1302,9,3854
2010,10,AA,American Airlines Inc.,604,75,27,2,27,0,19,6,2,4081,1503,257,1172,3,1146
2010,10,B6,JetBlue Airways,368,83,26,0,34,0,22,2,1,4814,1720,38,1507,6,1544
2010,10,DL,Delta Air Lines Inc.,571,91,29,2,34,0,26,6,1,4956,1658,206,1491,1,1601
2010,10,UA,United Air Lines Inc.,429,41,9,1,17,0,14,2,0,2213,584,31,760,0,837
2010,10,WN,Southwest Airlines Co.,1373,302,94,4,45,1,157,5,2,13261,3819,349,1719,38,7335
2010,11,AA,American Airlines Inc.,576,82,27,3,31,0,21,2,1,4021,1553,185,1124,1,1158
2010,11,B6,JetBlue Airways,349,70,24,0,26,0,20,2,1,3425,1372,12,914,7,1120
2010,11,DL,Delta Air Lines Inc.,548,99,27,2,42,0,28,6,1,4828,1524,137,1520,0,1647
2010,11,UA,United Air Lines Inc.,379,31,7,0,14,0,10,1,0,1603,455,20,544,0,584
2010,11,WN,Southwest Airlines Co.,1324,268,89,3,37,1,138,4,2,10872,3513,209,1204,23,5923
2010,12,AA,American Airlines Inc.,585,98,32,6,34,0,25,14,2,5356,1875,355,1599,14,1512
2010,12,B6,JetBlue Airways,385,125,44,1,40,0,41,33,1,8280,3130,151,1950,10,3038
2010,12,DL,Delta Air Lines Inc.,530,132,41,4,47,0,40,25,1,7258,2410,343,2047,2,2457
2010,12,UA,United Air Lines Inc.,373,54,13,1,23,0,17,8,1,3075,757,86,1072,0,1159
2010,12,WN,Southwest Airlines Co.,1364,420,135,9,52,3,221,25,4,20129,5812,571,2114,74,11558
2011,1,AA,American Airlines Inc.,592,99,35,6,31,0,27,19,1,5213,1982,375,1269,1,1587
2011,1,B6,JetBlue Airways,364,107,36,1,33,0,36,20,1,6285,2214,82,1578,13,2399
2011,1,DL,Delta Air Lines Inc.,531,100,30,3,40,0,27,34,1,4921,1691,247,1399,1,1584
2011,1,UA,United Air Lines Inc.,359,47,10,2,21,0,14,8,1,2577,644,93,921,19,901
2011,1,WN,Southwest Airlines Co.,1353,323,103,6,44,2,167,21,3,13825,4144,357,1598,71,7655
2011,2,AA,American Airlines Inc.,536,119,35,10,40,0,33,35,1,6422,2048,666,1671,7,2031
2011,2,B6,JetBlue Airways,340,98,29,1,36,0,32,17,2,5703,1839,54,1648,7,2156
2011,2,DL,Delta Air Lines Inc.,494,89,25,3,37,0,24,16,1,4718,1611,225,1378,1,1504
2011,2,UA,United Air Lines Inc.,330,55,12,1,25,0,16,13,0,2945,775,117,992,0,1061
2011,2,WN,Southwest Airlines Co.,1236,272,75,5,46,1,145,42,3,12975,3370,354,1790,49,7413
2011,3,AA,American Airlines Inc.,599,102,37,2,35,0,28,11,2,5697,2284,181,1503,2,1727
2011,3,B6,JetBlue Airways,393,110,35,1,40,0,34,2,1,6871,2273,108,2029,5,2456
2011,3,DL,Delta Air Lines Inc.,549,113,31,2,46,0,34,4,1,5657,1819,174,1707,2,1955
2011,3,UA,United Air Lines Inc.,376,57,11,1,23,0,22,3,0,3248,703,58,1037,0,1449
2011,3,WN,Southwest Airlines Co.,1387,268,76,5,44,1,142,9,2,13493,3512,421,1766,32,7761
2011,4,AA,American Airlines Inc.,557,141,37,8,55,0,41,15,3,8600,2280,664,2689,1,2965
2011,4,B6,JetBlue Airways,387,117,34,1,47,0,35,4,2,7725,2313,177,2657,10,2569
2011,4,DL,Delta Air Lines Inc.,513,105,28,3,43,0,32,5,1,5543,1681,258,1718,3,1884
2011,4,UA,United Air Lines Inc.,346,62,12,1,27,0,23,4,1,3582,750,80,1231,1,1521
2011,4,WN,Southwest Airlines Co.,1364,305,86,6,46,2,165,24,3,16456,4491,491,1901,53,9520
2011,5,AA,American Airlines Inc.,591,138,41,10,46,0,40,33,5,9459,2675,1025,2499,2,3259
2011,5,B6,JetBlue Airways,359,83,22,1,36,0,24,2,1,4952,1348,69,1976,4,1555
2011,5,DL,Delta Air Lines Inc.,553,92,28,3,36,0,25,3,1,5114,1736,282,1550,5,1541
2011,5,UA,United Air Lines Inc.,377,75,16,2,31,0,27,5,1,4883,1042,193,1607,4,2037
2011,5,WN,Southwest Airlines Co.,1388,309,89,9,45,1,164,12,3,16940,4208,862,2139,37,9694
2011,6,AA,American Airlines Inc.,572,116,43,5,36,0,32,13,3,6817,2599,442,1589,6,2180
