NCode,Year,Month,difference,Carrier_delay,Weather_delay,NAS_delay,Security_delay,Late_aircraft_delay,inc_dec
3,2015,1,316076,1341,165,1417,20,1902,Increase
3,2016,1,287470,1956,193,1088,18,2456,Increase
3,2017,1,342857,1953,138,1465,30,2817,Increase
3,2018,1,-124316,3030,227,1387,19,3636,Decrease
3,2010,2,5607,1518,347,1508,17,2144,Increase
3,2011,2,175274,1839,54,1648,7,2156,Increase
3,2012,2,303697,1066,5,696,3,866,Increase
3,2013,2,41714,1758,50,1291,5,2061,Increase
3,2014,2,67503,1773,220,1529,17,2208,Increase
3,2015,2,204708,2208,364,1799,19,3040,Increase
3,2016,2,424656,2205,435,1632,13,3493,Increase
3,2017,2,71775,1496,119,1192,12,2009,Increase
3,2018,2,147361,1915,62,1067,7,1882,Increase
3,2010,3,142753,2088,29,1640,16,2376,Increase
3,2011,3,191113,2273,108,2029,5,2456,Increase
3,2012,3,258787,1647,25,897,3,1525,Increase
3,2013,3,178124,2044,151,1686,18,2947,Increase
3,2014,3,10593,1327,74,1106,6,1505,Increase
3,2015,3,244125,1918,178,2001,8,2751,Increase
3,2016,3,309986,1737,97,1283,24,2272,Increase
3,2017,3,172739,2004,84,2021,8,2800,Increase
3,2018,3,176106,2773,158,1282,18,3092,Increase
3,2010,4,86866,1046,100,725,5,1012,Increase
3,2011,4,150921,2313,177,2657,10,2569,Increase
3,2012,4,289743,1209,28,518,4,907,Increase
3,2013,4,74202,1766,88,1982,16,2346,Increase
3,2014,4,138724,1165,74,1538,9,1552,Increase
3,2015,4,234192,1238,93,1298,6,1609,Increase
3,2016,4,205674,1605,58,1187,10,2213,Increase
3,2017,4,325767,2048,87,2306,10,3416,Increase
3,2018,4,160642,2700,199,1845,9,3955,Increase
3,2010,5,156824,1095,78,1216,5,894,Increase
3,2011,5,213647,1348,69,1976,4,1555,Increase
3,2012,5,177685,1079,96,1006,7,1120,Increase
3,2013,5,187507,1130,109,1464,10,1443,Increase
3,2014,5,175611,1223,111,1281,12,1547,Increase
3,2015,5,221572,1028,126,1122,9,1113,Increase
3,2016,5,285378,1273,142,895,10,1366,Increase
3,2017,5,158088,2415,91,2850,13,3866,Increase
3,2018,5,247395,2169,151,1637,12,2848,Increase
3,2010,6,187683,1371,94,1129,1,1322,Increase
3,2011,6,149381,2157,204,1798,4,2289,Increase
3,2012,6,248167,1752,324,1190,17,2385,Increase
3,2013,6,147674,1871,193,2443,14,3247,Increase
3,2014,6,117182,1173,175,1281,7,1426,Increase
3,2015,6,228606,1200,169,1636,6,1820,Increase
3,2016,6,303273,1577,169,1555,16,2275,Increase
3,2017,6,168954,2900,367,2884,14,5352,Increase
3,2018,6,231776,1803,214,1415,9,2511,Increase
3,2010,7,168810,2102,133,1487,3,2090,Increase
3,2011,7,224770,2202,172,1613,7,2186,Increase
3,2012,7,214111,1905,400,1769,10,2765,Increase
3,2013,7,157482,2436,252,2320,33,4291,Increase
3,2014,7,141302,1929,456,2357,16,3136,Increase
3,2015,7,230152,1420,147,1382,8,2050,Increase
3,2016,7,208767,2387,407,2258,19,3513,Increase
3,2017,7,206765,2940,326,2627,13,4793,Increase
3,2018,7,217386,2317,425,2399,11,3850,Increase
3,2010,8,148190,1887,88,1302,6,1805,Increase
3,2011,8,83318,2692,408,2389,8,3899,Increase
3,2012,8,370495,2213,293,1613,12,3118,Increase
3,2013,8,131949,1959,74,1511,28,2756,Increase
3,2014,8,205402,1283,132,1074,25,1518,Increase
3,2015,8,151622,1724,277,1357,63,2518,Increase
3,2016,8,221728,1848,263,1670,23,2808,Increase
3,2017,8,195029,2550,257,1888,23,3495,Increase
3,2018,8,221571,2554,340,2670,25,4149,Increase
3,2010,9,248215,1480,117,1427,2,1253,Increase
3,2011,9,144859,1362,56,1513,5,1428,Increase
3,2012,9,145554,1084,60,1167,2,1251,Increase
3,2013,9,20397,1078,83,930,16,1234,Increase
3,2014,9,177152,587,55,803,6,584,Increase
3,2015,9,276714,1093,129,1092,7,1249,Increase
3,2016,9,285045,1104,139,1120,13,1613,Increase
3,2017,9,-143183,1494,155,1533,7,2013,Decrease
3,2018,9,431687,1356,175,1633,5,1732,Increase
3,2010,10,283058,1720,38,1507,6,1544,Increase
3,2011,10,153429,1492,139,1576,8,1628,Increase
3,2012,10,35760,1241,35,928,9,1111,Increase
3,2013,10,135792,731,19,726,6,670,Increase
3,2014,10,255260,723,78,1159,6,842,Increase
3,2015,10,283191,1195,65,1036,5,1180,Increase
3,2016,10,166019,1344,88,964,10,1555,Increase
3,2017,10,137040,1200,95,1622,9,1593,Increase
3,2018,10,208837,1502,64,1386,3,1513,Increase
3,2010,11,221453,1372,12,914,7,1120,Increase
3,2011,11,208396,935,14,787,3,901,Increase
3,2012,11,141119,1303,152,709,7,1339,Increase
3,2013,11,-25902,925,22,722,8,792,Decrease
3,2014,11,231853,903,77,1138,6,1066,Increase
3,2015,11,333151,1153,30,885,12,1104,Increase
3,2016,11,242342,1160,20,788,5,1076,Increase
3,2017,11,74881,931,12,657,36,830,Increase
3,2018,11,193726,2521,97,1802,12,2816,Increase
3,2010,12,81653,3130,151,1950,10,3038,Increase
3,2011,12,294955,1224,28,905,5,1273,Increase
3,2012,12,146462,2443,73,1605,11,3197,Increase
3,2013,12,224328,2242,187,1975,24,2970,Increase
3,2014,12,151009,1122,20,1202,15,1235,Increase
3,2015,12,293827,2391,185,1490,27,3305,Increase
3,2016,12,226687,2158,177,1396,34,3157,Increase
3,2017,12,60657,2230,193,1345,14,2931,Increase
3,2018,12,106504,2641,39,1267,8,2715,Increase
2,2010,1,2443106,1782,381,1501,5,1158,Increase
2,2011,1,117057,1691,247,1399,1,1584,Increase
2,2012,1,133678,1055,129,862,1,882,Increase
2,2013,1,428019,1196,246,819,2,737,Increase
2,2014,1,348628,2787,1175,1574,1,2290,Increase
2,2015,1,797719,1224,285,825,4,830,Increase
2,2016,1,783127,1544,414,905,1,1109,Increase
2,2017,1,86006,2590,803,1413,3,1844,Increase
2,2018,1,78055,1518,903,1237,1,1440,Increase
2,2010,2,2430075,1940,393,1471,8,1606,Increase
2,2011,2,284030,1611,225,1378,1,1504,Increase
2,2012,2,285121,920,64,538,3,617,Increase
2,2013,2,211860,1267,124,746,1,658,Increase
2,2014,2,284418,1650,466,1068,2,1116,Increase
2,2015,2,880177,1746,715,1161,1,1520,Increase
2,2016,2,823915,1436,384,985,2,1182,Increase
2,2017,2,-81519,1013,206,722,1,695,Decrease
2,2018,2,408337,1396,332,884,4,1121,Increase
2,2010,3,3654903,2210,303,1650,3,1845,Increase
2,2011,3,318884,1819,174,1707,2,1955,Increase
2,2012,3,263807,1312,97,847,1,1121,Increase
2,2013,3,401686,1626,320,958,1,1060,Increase
2,2014,3,751035,1743,183,948,1,1155,Increase
2,2015,3,730108,1794,376,1173,1,1318,Increase
2,2016,3,329181,1584,192,925,3,1102,Increase
2,2017,3,508560,1599,328,1248,2,1270,Increase
2,2018,3,449738,1529,402,937,5,1008,Increase
2,2010,4,3273222,1628,141,1163,2,1083,Increase
2,2011,4,351515,1681,258,1718,3,1884,Increase
2,2012,4,231134,1040,33,472,1,635,Increase
2,2013,4,167126,1664,190,1112,2,1007,Increase
2,2014,4,995417,1555,186,976,1,1098,Increase
2,2015,4,675788,1430,252,983,2,1065,Increase
2,2016,4,430638,1488,120,656,1,850,Increase
2,2017,4,-9854,3550,1545,1960,3,3051,Decrease
2,2018,4,778066,1579,273,1190,3,1178,Increase
2,2010,5,3597025,2354,387,2249,2,2131,Increase
2,2011,5,579442,1736,282,1550,5,1541,Increase
2,2012,5,-14518,1302,111,954,3,1096,Decrease
2,2013,5,414869,1633,118,1008,1,1074,Increase
2,2014,5,971363,1736,174,1278,11,1175,Increase
