ID,Airline,ACode,NCode,Year,Month,DOM_Flights,INT_Flights,TOT_Flights,DOM_Passengers,INT_Passengers,TOT_Passengers
546,United Air Lines,UA,5,2014,6,42596,15001,57597,5782418,2428981,8211399
544,United Air Lines,UA,5,2014,4,39498,13498,52996,5263789,2083668,7347457
548,United Air Lines,UA,5,2014,8,42721,14631,57352,5847897,2445936,8293833
556,United Air Lines,UA,5,2015,4,41165,14267,55432,5511339,2124217,7635556
550,United Air Lines,UA,5,2014,10,43231,11875,55106,5602825,1865164,7467989
551,United Air Lines,UA,5,2014,11,39686,12022,51708,5059175,1808770,6867945
552,United Air Lines,UA,5,2014,12,40276,13261,53537,5346056,2050286,7396342
553,United Air Lines,UA,5,2015,1,37607,12789,50396,4804539,1947047,6751586
554,United Air Lines,UA,5,2015,2,35454,11470,46924,4607021,1686887,6293908
555,United Air Lines,UA,5,2015,3,43230,14507,57737,5776714,2233207,8009921
547,United Air Lines,UA,5,2014,7,43775,15661,59436,5927391,2600920,8528311
585,United Air Lines,UA,5,2017,9,47547,12422,59969,6366060,2007345,8373405
599,United Air Lines,UA,5,2018,11,51388,12403,63791,7199379,2051315,9250694
509,United Air Lines,UA,5,2011,5,25809,5052,30861,3382600,894944,4277544
541,United Air Lines,UA,5,2014,1,37555,12807,50362,4786821,1906028,6692849
597,United Air Lines,UA,5,2018,9,52837,12025,64862,6958417,2000431,8958848
596,United Air Lines,UA,5,2018,8,57536,14903,72439,8124429,2605443,10729872
595,United Air Lines,UA,5,2018,7,57157,16212,73369,8359598,2872933,11232531
594,United Air Lines,UA,5,2018,6,55024,15145,70169,7953658,2640872,10594530
593,United Air Lines,UA,5,2018,5,52779,13567,66346,7416877,2222903,9639780
592,United Air Lines,UA,5,2018,4,49966,13722,63688,6997037,2174385,9171422
591,United Air Lines,UA,5,2018,3,48896,14670,63566,6908921,2373740,9282661
590,United Air Lines,UA,5,2018,2,41611,12058,53669,5500603,1818739,7319342
589,United Air Lines,UA,5,2018,1,44638,13513,58151,5765091,2099654,7864745
588,United Air Lines,UA,5,2017,12,49116,13972,63088,6732130,2212607,8944737
582,United Air Lines,UA,5,2017,6,51968,15580,67548,7409256,2586805,9996061
75,American Airlines,AA,1,2015,3,44655,12867,57522,5730340,1776793,7507133
61,American Airlines,AA,1,2014,1,43978,13427,57405,5222881,1881402,7104283
88,American Airlines,AA,1,2016,4,74412,16328,90740,9612141,2218028,11830169
87,American Airlines,AA,1,2016,3,78887,17062,95949,10231931,2403928,12635859
86,American Airlines,AA,1,2016,2,70596,14975,85571,8630105,1931654,10561759
85,American Airlines,AA,1,2016,1,73096,16163,89259,9044128,2237425,11281553
84,American Airlines,AA,1,2015,12,75602,17065,92667,9721932,2370064,12091996
83,American Airlines,AA,1,2015,11,73572,14795,88367,9500290,2020508,11520798
82,American Airlines,AA,1,2015,10,76790,14893,91683,10202478,2217380,12419858
81,American Airlines,AA,1,2015,9,73187,14636,87823,9394625,2153178,11547803
80,American Airlines,AA,1,2015,8,79263,17877,97140,10562351,2778911,13341262
79,American Airlines,AA,1,2015,7,81130,19027,100157,11012728,2955422,13968150
78,American Airlines,AA,1,2015,6,44042,13401,57443,5938232,1950817,7889049
91,American Airlines,AA,1,2016,7,80654,18349,99003,10707983,2855898,13563881
76,American Airlines,AA,1,2015,4,44663,12144,56807,5688230,1671021,7359251
93,American Airlines,AA,1,2016,9,72358,13707,86065,9213005,2007737,11220742
74,American Airlines,AA,1,2015,2,37396,11417,48813,4684026,1532258,6216284
73,American Airlines,AA,1,2015,1,43287,12960,56247,5140185,1807013,6947198
72,American Airlines,AA,1,2014,12,45150,13324,58474,5566235,1873600,7439835
71,American Airlines,AA,1,2014,11,42397,11996,54393,5099070,1591197,6690267
70,American Airlines,AA,1,2014,10,44856,11253,56109,5586600,1599344,7185944
69,American Airlines,AA,1,2014,9,43110,10995,54105,5163078,1549901,6712979
68,American Airlines,AA,1,2014,8,45957,13098,59055,5846685,1969771,7816456
67,American Airlines,AA,1,2014,7,47130,14057,61187,6137012,2106182,8243194
66,American Airlines,AA,1,2014,6,45663,13436,59099,5935921,1918545,7854466
65,American Airlines,AA,1,2014,5,44916,13085,58001,5767256,1820960,7588216
64,American Airlines,AA,1,2014,4,43630,12877,56507,5501405,1767296,7268701
63,American Airlines,AA,1,2014,3,45537,13526,59063,5741624,1807255,7548879
62,American Airlines,AA,1,2014,2,39248,11914,51162,4816811,1558364,6375175
77,American Airlines,AA,1,2015,5,44065,12673,56738,5704600,1777277,7481877
107,American Airlines,AA,1,2017,11,69689,14062,83751,9486559,2018610,11505169
1,American Airlines,AA,1,2009,1,46183,12066,58249,5046794,1646798,6693592
120,American Airlines,AA,1,2018,12,74942,16032,90974,9764388,2378953,12143341
119,American Airlines,AA,1,2018,11,74178,13765,87943,9888304,2042505,11930809
118,American Airlines,AA,1,2018,10,78497,14896,93393,10268808,2219703,12488511
117,American Airlines,AA,1,2018,9,73948,14136,88084,9004336,2088901,11093237
116,American Airlines,AA,1,2018,8,79351,17185,96536,10584430,2719275,13303705
115,American Airlines,AA,1,2018,7,79177,18423,97600,10882459,2938321,13820780
114,American Airlines,AA,1,2018,6,77266,17672,94938,10635376,2775993,13411369
113,American Airlines,AA,1,2018,5,77253,17133,94386,10356532,2549757,12906289
112,American Airlines,AA,1,2018,4,74118,16567,90685,9879265,2362254,12241519
111,American Airlines,AA,1,2018,3,75893,16863,92756,10422226,2442033,12864259
110,American Airlines,AA,1,2018,2,67711,14307,82018,8753570,1957329,10710899
89,American Airlines,AA,1,2016,5,78480,16373,94853,10283822,2330575,12614397
108,American Airlines,AA,1,2017,12,73581,16631,90212,9716423,2403612,12120035
90,American Airlines,AA,1,2016,6,79164,17298,96462,10576237,2570740,13146977
106,American Airlines,AA,1,2017,10,75559,15007,90566,10184330,2201837,12386167
105,American Airlines,AA,1,2017,9,68928,12778,81706,8844642,1941685,10786327
104,American Airlines,AA,1,2017,8,78553,17568,96121,10366917,2746344,13113261
103,American Airlines,AA,1,2017,7,78311,18891,97202,10476594,2971718,13448312
102,American Airlines,AA,1,2017,6,76142,17932,94074,10253686,2754153,13007839
101,American Airlines,AA,1,2017,5,77011,17295,94306,10136949,2545846,12682795
100,American Airlines,AA,1,2017,4,73099,16651,89750,9606283,2453381,12059664
99,American Airlines,AA,1,2017,3,77089,16526,93615,10234502,2298450,12532952
98,American Airlines,AA,1,2017,2,66463,14055,80518,8313772,1853828,10167600
97,American Airlines,AA,1,2017,1,72378,15749,88127,8850729,2200571,11051300
96,American Airlines,AA,1,2016,12,73393,16764,90157,9334761,2360973,11695734
95,American Airlines,AA,1,2016,11,71727,13751,85478,9228542,1941246,11169788
94,American Airlines,AA,1,2016,10,74458,14167,88625,9669243,2094834,11764077
109,American Airlines,AA,1,2018,1,72293,15612,87905,9031178,2233160,11264338
14,American Airlines,AA,1,2010,2,40142,10529,50671,4587189,1368464,5955653
29,American Airlines,AA,1,2011,5,43937,12071,56008,5620742,1738519,7359261
28,American Airlines,AA,1,2011,4,44236,11758,55994,5443337,1677494,7120831
27,American Airlines,AA,1,2011,3,46034,12423,58457,5672521,1749361,7421882
26,American Airlines,AA,1,2011,2,39189,11181,50370,4528400,1450789,5979189
25,American Airlines,AA,1,2011,1,44782,12562,57344,4984095,1721945,6706040
24,American Airlines,AA,1,2010,12,44697,12230,56927,5385462,1750643,7136105
23,American Airlines,AA,1,2010,11,43094,11233,54327,5271371,1597873,6869244
22,American Airlines,AA,1,2010,10,44396,11478,55874,5621810,1671953,7293763
21,American Airlines,AA,1,2010,9,43268,10957,54225,5120391,1570938,6691329
20,American Airlines,AA,1,2010,8,46122,12799,58921,5756912,1954418,7711330
19,American Airlines,AA,1,2010,7,46117,13282,59399,6019072,2044146,8063218
18,American Airlines,AA,1,2010,6,44173,12307,56480,5826063,1819741,7645804
17,American Airlines,AA,1,2010,5,44949,12299,57248,5668495,1706781,7375276
30,American Airlines,AA,1,2011,6,44959,12285,57244,5859655,1855489,7715144
8,American Airlines,AA,1,2009,8,47151,11727,58878,5873874,1845142,7719016
92,American Airlines,AA,1,2016,8,79138,16910,96048,10094479,2610334,12704813
2,American Airlines,AA,1,2009,2,42031,10654,52685,4817178,1394746,6211924
60,American Airlines,AA,1,2013,12,42876,13414,56290,5379304,1950554,7329858
4,American Airlines,AA,1,2009,4,45069,11499,56568,5598830,1638680,7237510
5,American Airlines,AA,1,2009,5,46198,11425,57623,5659385,1561968,7221353
16,American Airlines,AA,1,2010,4,44521,11532,56053,5556542,1589256,7145798
7,American Airlines,AA,1,2009,7,47268,12098,59366,6235789,1922721,8158510
15,American Airlines,AA,1,2010,3,46963,12095,59058,5826764,1676622,7503386
9,American Airlines,AA,1,2009,9,44007,10037,54044,5068030,1441869,6509899
10,American Airlines,AA,1,2009,10,45514,10497,56011,5582936,1537370,7120306
11,American Airlines,AA,1,2009,11,43619,10662,54281,5177516,1505763,6683279
12,American Airlines,AA,1,2009,12,45131,11927,57058,5392231,1678815,7071046
13,American Airlines,AA,1,2010,1,45545,11842,57387,5071320,1623904,6695224
3,American Airlines,AA,1,2009,3,46938,11892,58830,5788308,1634131,7422439
6,American Airlines,AA,1,2009,6,45168,11418,56586,5901624,1723349,7624973
57,American Airlines,AA,1,2013,9,42986,11159,54145,5004226,1634307,6638533
58,American Airlines,AA,1,2013,10,45244,11557,56801,5537823,1687648,7225471
56,American Airlines,AA,1,2013,8,46595,13539,60134,5717993,2068984,7786977
55,American Airlines,AA,1,2013,7,46654,13895,60549,5904915,2168377,8073292
54,American Airlines,AA,1,2013,6,44895,12973,57868,5766511,1953480,7719991
53,American Airlines,AA,1,2013,5,45433,12601,58034,5661503,1796344,7457847
52,American Airlines,AA,1,2013,4,43469,12082,55551,5349248,1686536,7035784
51,American Airlines,AA,1,2013,3,45332,13100,58432,5673163,1872393,7545556
50,American Airlines,AA,1,2013,2,40076,11567,51643,4822406,1537307,6359713
49,American Airlines,AA,1,2013,1,44107,12785,56892,5195596,1781780,6977376
48,American Airlines,AA,1,2012,12,44037,12988,57025,5377297,1828984,7206281
47,American Airlines,AA,1,2012,11,41689,11659,53348,5217765,1663385,6881150
46,American Airlines,AA,1,2012,10,42071,11399,53470,5307352,1638952,6946304
45,American Airlines,AA,1,2012,9,40677,10998,51675,4927838,1632458,6560296
44,American Airlines,AA,1,2012,8,44018,12313,56331,5670333,1962848,7633181
34,American Airlines,AA,1,2011,10,44337,11147,55484,5597937,1636251,7234188
43,American Airlines,AA,1,2012,7,44515,13115,57630,5862790,2118354,7981144
59,American Airlines,AA,1,2013,11,42619,11679,54298,5039567,1630630,6670197
33,American Airlines,AA,1,2011,9,43411,10737,54148,5277512,1573058,6850570
31,American Airlines,AA,1,2011,7,46435,13139,59574,6076925,2108152,8185077
35,American Airlines,AA,1,2011,11,41353,10891,52244,5237700,1571807,6809507
36,American Airlines,AA,1,2011,12,42745,12449,55194,5217199,1791107,7008306
37,American Airlines,AA,1,2012,1,43139,12567,55706,4997279,1772562,6769841
38,American Airlines,AA,1,2012,2,41446,11652,53098,4867812,1547404,6415216
39,American Airlines,AA,1,2012,3,45567,12451,58018,5799813,1805382,7605195
40,American Airlines,AA,1,2012,4,42425,11566,53991,5407854,1720613,7128467
41,American Airlines,AA,1,2012,5,45084,12039,57123,5810112,1752991,7563103
42,American Airlines,AA,1,2012,6,43178,12085,55263,5763314,1877300,7640614
32,American Airlines,AA,1,2011,8,45552,12327,57879,5717545,1928311,7645856
203,Delta Airlines,DL,2,2015,11,72350,9395,81745,9470271,1504002,10974273
198,Delta Airlines,DL,2,2015,6,77368,12580,89948,10447049,2209607,12656656
199,Delta Airlines,DL,2,2015,7,80943,13462,94405,10866964,2404101,13271065
200,Delta Airlines,DL,2,2015,8,81178,13450,94628,10643803,2413456,13057259
201,Delta Airlines,DL,2,2015,9,72242,10808,83050,9310805,1895470,11206275
202,Delta Airlines,DL,2,2015,10,75652,10098,85750,10186485,1754714,11941199
204,Delta Airlines,DL,2,2015,12,70846,10920,81766,9131393,1746754,10878147
205,Delta Airlines,DL,2,2016,1,68903,11834,80737,8471686,1839237,10310923
206,Delta Airlines,DL,2,2016,2,67661,10744,78405,8331767,1605056,9936823
207,Delta Airlines,DL,2,2016,3,78326,11733,90059,10207835,1913147,12120982
197,Delta Airlines,DL,2,2015,5,74937,11743,86680,10018605,1971017,11989622
209,Delta Airlines,DL,2,2016,5,80644,11884,92528,10702739,2019100,12721839
189,Delta Airlines,DL,2,2014,9,67122,10459,77581,8636445,1853791,10490236
210,Delta Airlines,DL,2,2016,6,81770,12641,94411,10801557,2295425,13096982
208,Delta Airlines,DL,2,2016,4,76677,11525,88202,9886117,1869972,11756089
196,Delta Airlines,DL,2,2015,4,72219,11181,83400,9537737,1787714,11325451
195,Delta Airlines,DL,2,2015,3,73836,11797,85633,9898585,1893216,11791801
194,Delta Airlines,DL,2,2015,2,59378,9983,69361,7621569,1491339,9112908
193,Delta Airlines,DL,2,2015,1,63957,11441,75398,7770744,1757052,9527796
192,Delta Airlines,DL,2,2014,12,66621,10575,77196,8550169,1720667,10270836
190,Delta Airlines,DL,2,2014,10,70812,9911,80723,9430367,1674994,11105361
188,Delta Airlines,DL,2,2014,8,72902,12746,85648,9875166,2309861,12185027
187,Delta Airlines,DL,2,2014,7,72875,12804,85679,10060931,2273125,12334056
186,Delta Airlines,DL,2,2014,6,69904,11942,81846,9604618,2137755,11742373
185,Delta Airlines,DL,2,2014,5,68221,10613,78834,9364067,1844025,11208092
184,Delta Airlines,DL,2,2014,4,65806,10012,75818,8961118,1688545,10649663
211,Delta Airlines,DL,2,2016,7,83844,13534,97378,10934957,2466034,13400991
227,Delta Airlines,DL,2,2017,11,74440,9763,84203,9968774,1577424,11546198
183,Delta Airlines,DL,2,2014,3,67085,11108,78193,9238646,1823047,11061693
191,Delta Airlines,DL,2,2014,11,67079,9173,76252,8555221,1452969,10008190
226,Delta Airlines,DL,2,2017,10,79605,11038,90643,10725324,1863210,12588534
150,Delta Airlines,DL,2,2011,6,63783,10520,74303,8476210,1918498,10394708
239,Delta Airlines,DL,2,2018,11,76362,9959,86321,10544475,1643676,12188151
238,Delta Airlines,DL,2,2018,10,82219,11267,93486,11070334,1943902,13014236
237,Delta Airlines,DL,2,2018,9,78175,11620,89795,10028453,2018433,12046886
236,Delta Airlines,DL,2,2018,8,88074,13812,101886,11932518,2553639,14486157
235,Delta Airlines,DL,2,2018,7,86766,14228,100994,11918888,2622703,14541591
234,Delta Airlines,DL,2,2018,6,83840,13481,97321,11433287,2474713,13908000
233,Delta Airlines,DL,2,2018,5,81914,12729,94643,11042700,2213437,13256137
232,Delta Airlines,DL,2,2018,4,78895,12102,90997,10458858,2065443,12524301
231,Delta Airlines,DL,2,2018,3,80645,12813,93458,10898772,2180508,13079280
230,Delta Airlines,DL,2,2018,2,66400,10979,77379,8572978,1690663,10263641
229,Delta Airlines,DL,2,2018,1,69959,12395,82354,8569504,1905480,10474984
225,Delta Airlines,DL,2,2017,9,74074,11305,85379,9416969,1966369,11383338
182,Delta Airlines,DL,2,2014,2,51726,9056,60782,6828755,1403976,8232731
212,Delta Airlines,DL,2,2016,8,82950,13175,96125,10332267,2349012,12681279
240,Delta Airlines,DL,2,2018,12,75133,11563,86696,10002045,1904834,11906879
224,Delta Airlines,DL,2,2017,8,84816,13687,98503,11309630,2501763,13811393
223,Delta Airlines,DL,2,2017,7,83843,14066,97909,11309402,2559200,13868602
222,Delta Airlines,DL,2,2017,6,81187,13265,94452,10968903,2415035,13383938
221,Delta Airlines,DL,2,2017,5,80904,12492,93396,10813517,2156252,12969769
220,Delta Airlines,DL,2,2017,4,74141,12094,86235,9684786,2061449,11746235
219,Delta Airlines,DL,2,2017,3,78839,12290,91129,10589367,2040175,12629542
218,Delta Airlines,DL,2,2017,2,65129,10496,75625,8243904,1611400,9855304
217,Delta Airlines,DL,2,2017,1,69354,12069,81423,8526218,1870711,10396929
216,Delta Airlines,DL,2,2016,12,71642,11509,83151,9373077,1838715,11211792
215,Delta Airlines,DL,2,2016,11,74194,9061,83255,9858408,1459191,11317599
214,Delta Airlines,DL,2,2016,10,78599,10312,88911,10384814,1741881,12126695
213,Delta Airlines,DL,2,2016,9,75632,10963,86595,9712323,1891703,11604026
228,Delta Airlines,DL,2,2017,12,70899,11730,82629,9178087,1869793,11047880
134,Delta Airlines,DL,2,2010,2,50092,8488,58580,5896921,1270381,7167302
149,Delta Airlines,DL,2,2011,5,62865,9475,72340,8211317,1625061,9836378
148,Delta Airlines,DL,2,2011,4,60131,9647,69778,7708165,1547821,9255986
147,Delta Airlines,DL,2,2011,3,62311,10527,72838,8038760,1606405,9645165
146,Delta Airlines,DL,2,2011,2,52259,8869,61128,6190982,1260350,7451332
145,Delta Airlines,DL,2,2011,1,55852,9433,65285,6353800,1465952,7819752
144,Delta Airlines,DL,2,2010,12,58350,8922,67272,7097273,1499834,8597107
143,Delta Airlines,DL,2,2010,11,59859,7999,67858,7336348,1334879,8671227
142,Delta Airlines,DL,2,2010,10,63029,8708,71737,7988508,1559000,9547508
141,Delta Airlines,DL,2,2010,9,61372,8654,70026,7325582,1590182,8915764
140,Delta Airlines,DL,2,2010,8,65066,10848,75914,8289570,2003618,10293188
139,Delta Airlines,DL,2,2010,7,64478,11484,75962,8570388,2117177,10687565
122,Delta Airlines,DL,2,2009,2,32459,5627,38086,4012582,724645,4737227
151,Delta Airlines,DL,2,2011,7,66539,11461,78000,8975080,2139018,11114098
135,Delta Airlines,DL,2,2010,3,59690,9838,69528,7697000,1629281,9326281
138,Delta Airlines,DL,2,2010,6,63222,10570,73792,8333586,1926162,10259748
133,Delta Airlines,DL,2,2010,1,56061,9321,65382,6269827,1432868,7702695
132,Delta Airlines,DL,2,2009,12,34582,6656,41238,4344754,1013678,5358432
131,Delta Airlines,DL,2,2009,11,35600,5489,41089,4455362,825580,5280942
130,Delta Airlines,DL,2,2009,10,36563,5725,42288,4795766,950889,5746655
129,Delta Airlines,DL,2,2009,9,34613,5894,40507,4380862,980636,5361498
128,Delta Airlines,DL,2,2009,8,37139,7333,44472,5060331,1245340,6305671
127,Delta Airlines,DL,2,2009,7,37119,7903,45022,5244681,1350256,6594937
126,Delta Airlines,DL,2,2009,6,35385,7354,42739,4881087,1205824,6086911
125,Delta Airlines,DL,2,2009,5,35284,6314,41598,4695195,964716,5659911
124,Delta Airlines,DL,2,2009,4,35136,6262,41398,4673010,958239,5631249
123,Delta Airlines,DL,2,2009,3,35907,6454,42361,4731914,939464,5671378
181,Delta Airlines,DL,2,2014,1,56300,9944,66244,7114603,1615474,8730077
152,Delta Airlines,DL,2,2011,8,65237,10709,75946,8560593,2019596,10580189
137,Delta Airlines,DL,2,2010,5,61027,9228,70255,7658466,1598470,9256936
175,Delta Airlines,DL,2,2013,7,69227,11927,81154,9285996,2208948,11494944
168,Delta Airlines,DL,2,2012,12,57389,8852,66241,7328012,1522781,8850793
169,Delta Airlines,DL,2,2013,1,57081,8683,65764,6945446,1436003,8381449
170,Delta Airlines,DL,2,2013,2,52443,8262,60705,6650536,1297777,7948313
171,Delta Airlines,DL,2,2013,3,63624,10018,73642,8595017,1715641,10310658
172,Delta Airlines,DL,2,2013,4,62354,9099,71453,8129300,1524946,9654246
167,Delta Airlines,DL,2,2012,11,60032,7657,67689,7885681,1315337,9201018
174,Delta Airlines,DL,2,2013,6,66266,10866,77132,8955829,2029562,10985391
178,Delta Airlines,DL,2,2013,10,65587,9294,74881,8495170,1619129,10114299
176,Delta Airlines,DL,2,2013,8,69479,11667,81146,9186387,2202558,11388945
177,Delta Airlines,DL,2,2013,9,62388,9669,72057,7856110,1750188,9606298
121,Delta Airlines,DL,2,2009,1,35727,6383,42110,4351463,908126,5259589
179,Delta Airlines,DL,2,2013,11,61500,8654,70154,7661415,1406959,9068374
136,Delta Airlines,DL,2,2010,4,59271,8602,67873,7488219,1416252,8904471
180,Delta Airlines,DL,2,2013,12,60717,9730,70447,8089402,1654873,9744275
173,Delta Airlines,DL,2,2013,5,64207,9717,73924,8521714,1715015,10236729
154,Delta Airlines,DL,2,2011,10,61212,8513,69725,7987349,1464681,9452030
166,Delta Airlines,DL,2,2012,10,62824,8417,71241,8365640,1510788,9876428
153,Delta Airlines,DL,2,2011,9,59226,8689,67915,7507319,1576267,9083586
155,Delta Airlines,DL,2,2011,11,58129,7452,65581,7534741,1231262,8766003
156,Delta Airlines,DL,2,2011,12,57426,8642,66068,7166636,1450399,8617035
157,Delta Airlines,DL,2,2012,1,55239,8871,64110,6544675,1408755,7953430
158,Delta Airlines,DL,2,2012,2,52037,8635,60672,6461946,1274507,7736453
159,Delta Airlines,DL,2,2012,3,60472,10356,70828,8227631,1681341,9908972
161,Delta Airlines,DL,2,2012,5,61301,9524,70825,8184512,1637348,9821860
162,Delta Airlines,DL,2,2012,6,63297,10560,73857,8731599,1939334,10670933
163,Delta Airlines,DL,2,2012,7,65771,11131,76902,9071103,2064843,11135946
164,Delta Airlines,DL,2,2012,8,66746,10697,77443,9018451,2014284,11032735
165,Delta Airlines,DL,2,2012,9,61144,8796,69940,7651409,1631015,9282424
160,Delta Airlines,DL,2,2012,4,59461,9173,68634,7968212,1518908,9487120
