ID,code,Airline,Year,Month,DOM_Flights,INT_Flights,TOT_Flights,DOM_Passengers,INT_Passengers,TOT_Passengers,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
509,UA,United Air Lines,2011,5,"25,809.00","5,052.00","30,861.00","3,382,600.00","894,944.00","4,277,544.00",376.8,75.39,15.66,2.25,30.72,0.14,26.63,4.74,1.12,"4,882.91","1,042.23",192.91,"1,606.51",3.96,"2,037.30"
510,UA,United Air Lines,2011,6,"27,382.00","4,942.00","32,324.00","3,664,079.00","932,071.00","4,596,150.00",396.31,92.6,22.9,1.78,30.08,0.01,37.85,7.3,0.79,"6,616.50","1,703.61",180.83,"1,657.64",0.8,"3,073.61"
511,UA,United Air Lines,2011,7,"28,530.00","5,227.00","33,757.00","3,822,906.00","999,916.00","4,822,822.00",403.56,97.26,23.2,2.34,27.93,0,43.8,10.18,1.49,"6,557.33","1,585.22",190.72,"1,413.36",0,"3,368.03"
512,UA,United Air Lines,2011,8,"28,180.00","5,051.00","33,231.00","3,715,505.00","959,619.00","4,675,124.00",409.91,79.76,19.69,2.37,27.03,0.03,30.64,9.99,1.16,"4,995.57","1,274.71",215.93,"1,333.76",0.87,"2,170.30"
513,UA,United Air Lines,2011,9,"24,571.00","4,629.00","29,200.00","3,171,710.00","857,955.00","4,029,665.00",362.51,61.74,14.14,1.12,29.41,0,17.06,2.31,0.44,"3,099.00",843.59,90.01,"1,139.35",0,"1,026.04"
514,UA,United Air Lines,2011,10,"25,040.00","4,672.00","29,712.00","3,269,782.00","832,614.00","4,102,396.00",369.43,62.31,15.33,0.76,28.38,0.01,17.83,2.1,0.47,"3,084.60",882.04,59.47,"1,034.97",0.19,"1,107.93"
515,UA,United Air Lines,2011,11,"22,893.00","4,204.00","27,097.00","2,952,856.00","737,461.00","3,690,317.00",333.07,54.2,12.91,0.26,24.48,0.01,16.54,2.2,0.58,"2,747.29",701.65,12.84,997.43,0.41,"1,034.96"
516,UA,United Air Lines,2011,12,"23,895.00","4,688.00","28,583.00","3,047,322.00","826,777.00","3,874,099.00",337.87,51.41,15.83,0.86,18.73,0,15.99,2.18,0.34,"2,682.83",932.01,56.77,698.13,0,995.92
517,UA,United Air Lines,2012,1,"41,370.00","13,434.00","54,804.00","4,984,089.00","1,901,259.00","6,885,348.00",496.76,81.61,23.29,2.47,34.62,0.02,21.21,6.07,0.83,"4,493.50","1,332.26",227.92,"1,405.33",0.42,"1,527.57"
518,UA,United Air Lines,2012,2,"40,632.00","12,589.00","53,221.00","4,919,282.00","1,676,303.00","6,595,585.00",474.85,73.2,21.21,1.3,30.24,0.1,20.35,3.67,0.71,"3,549.16","1,085.34",61.94,"1,120.15",6.06,"1,275.67"
519,UA,United Air Lines,2012,3,"46,149.00","14,525.00","60,674.00","5,952,082.00","2,119,321.00","8,071,403.00",537.84,117.21,39.01,1.82,43.15,0,33.22,3.22,0.94,"5,842.52","1,939.59",116.6,"1,692.93",0,"2,093.40"
520,UA,United Air Lines,2012,4,"44,170.00","13,675.00","57,845.00","5,757,600.00","2,034,449.00","7,792,049.00",544.42,97.04,31.92,0.91,36.19,0.16,27.85,2.59,0.65,"4,774.21","1,620.51",63,"1,299.33",9.63,"1,781.74"
521,UA,United Air Lines,2012,5,"45,115.00","13,843.00","58,958.00","5,908,966.00","2,087,875.00","7,996,841.00",579.79,122.12,38.25,2.12,48.64,0.25,32.86,4.99,1.46,"6,899.74","2,205.42",222.9,"2,068.00",8.24,"2,395.18"
522,UA,United Air Lines,2012,6,"46,479.00","14,148.00","60,627.00","6,185,279.00","2,257,790.00","8,443,069.00",577.41,161.48,56,2.81,47.68,0.33,54.66,8.98,2.14,"9,831.98","3,276.32",218.72,"2,115.77",12.11,"4,209.06"
523,UA,United Air Lines,2012,7,"47,403.00","15,160.00","62,563.00","6,326,084.00","2,439,653.00","8,765,737.00",623.64,207.03,69.01,5.76,56.67,0.42,75.17,14.48,2.27,"14,415.19","4,348.91",491.34,"3,169.29",11.71,"6,393.95"
524,UA,United Air Lines,2012,8,"47,361.00","14,224.00","61,585.00","6,284,718.00","2,276,932.00","8,561,650.00",612.35,158.56,58.54,3.01,42.53,0.68,53.81,10.17,1.27,"9,942.42","3,439.31",213.49,"2,088.24",44.78,"4,156.60"
525,UA,United Air Lines,2012,9,"42,756.00","11,781.00","54,537.00","5,253,311.00","1,838,359.00","7,091,670.00",563.24,96.79,31.52,1.38,38.55,0.18,25.16,3.38,1.22,"5,233.58","1,741.18",89.59,"1,649.24",10.57,"1,743.00"
526,UA,United Air Lines,2012,10,"42,550.00","11,489.00","54,039.00","5,510,934.00","1,749,224.00","7,260,158.00",576.92,106.58,35.83,1.17,41.2,0.14,28.25,26.77,1.1,"5,817.22","1,943.94",116.88,"1,680.16",13.44,"2,062.81"
527,UA,United Air Lines,2012,11,"40,882.00","11,056.00","51,938.00","5,204,739.00","1,676,868.00","6,881,607.00",530.18,68.71,27.1,0.47,22.09,0.08,18.96,7.74,0.47,"3,927.64","1,588.10",36.27,915.91,5.71,"1,381.65"
528,UA,United Air Lines,2012,12,"41,814.00","12,480.00","54,294.00","5,246,744.00","1,902,127.00","7,148,871.00",505.64,104.25,37.03,2.29,36.94,0.16,27.83,4.1,1.07,"5,859.01","2,022.78",122.72,"1,566.70",4.08,"2,142.72"
529,UA,United Air Lines,2013,1,"40,335.00","12,973.00","53,308.00","4,954,097.00","1,890,855.00","6,844,952.00",475.52,78.05,25.24,2.46,31.11,0.11,19.13,2.6,0.93,"3,978.39","1,300.24",157.05,"1,174.12",3.25,"1,343.74"
530,UA,United Air Lines,2013,2,"37,435.00","11,511.00","48,946.00","4,686,091.00","1,604,832.00","6,290,923.00",448.42,76.18,24.16,2.99,28.61,0.04,20.37,9.45,0.51,"3,946.69","1,285.13",200.84,"1,089.91",1.61,"1,369.21"
531,UA,United Air Lines,2013,3,"43,624.00","13,905.00","57,529.00","5,704,496.00","2,127,732.00","7,832,228.00",543.98,96.41,31.91,2.41,33.54,0.11,28.44,7.54,0.98,"5,289.09","1,718.52",153.26,"1,454.53",5.01,"1,957.77"
532,UA,United Air Lines,2013,4,"41,144.00","13,393.00","54,537.00","5,263,228.00","1,978,337.00","7,241,565.00",517.88,116.75,33.02,2.37,47.87,0.09,33.39,5.81,1.1,"7,419.61","2,023.88",234.59,"2,469.54",6.96,"2,684.65"
533,UA,United Air Lines,2013,5,"42,916.00","13,561.00","56,477.00","5,618,696.00","2,091,661.00","7,710,357.00",544.2,105.47,29.75,2.39,44.72,0.11,28.5,3.63,1.28,"6,113.52","1,678.01",167.05,"2,165.63",2.58,"2,100.24"
534,UA,United Air Lines,2013,6,"43,326.00","14,053.00","57,379.00","5,835,043.00","2,296,608.00","8,131,651.00",537.65,146.2,42.69,4.29,49.51,0.07,49.63,6.8,2.22,"10,163.35","2,682.20",372.12,"2,782.10",3.78,"4,323.15"
535,UA,United Air Lines,2013,7,"44,467.00","14,804.00","59,271.00","5,899,822.00","2,453,930.00","8,353,752.00",581.52,144.48,40.5,3.99,53.23,0.06,46.7,7.87,2.19,"9,404.99","2,495.99",306.14,"2,879.42",1.78,"3,721.66"
536,UA,United Air Lines,2013,8,"44,455.00","14,087.00","58,542.00","5,902,085.00","2,332,039.00","8,234,124.00",577.19,114.6,35.49,3.28,39.26,0.14,36.43,2.87,1.81,"6,640.70","1,958.04",231.4,"1,808.29",4.73,"2,638.25"
537,UA,United Air Lines,2013,9,"40,645.00","11,825.00","52,470.00","5,097,214.00","1,870,468.00","6,967,682.00",514.96,74.92,22.36,2.46,28.75,0.08,21.27,2.68,1.46,"4,827.44","1,326.09",211.76,"1,570.80",2.65,"1,716.15"
538,UA,United Air Lines,2013,10,"43,239.00","11,792.00","55,031.00","5,524,693.00","1,827,429.00","7,352,122.00",569.03,82.61,27.42,0.91,32.57,0.14,21.57,2.08,0.78,"4,344.00","1,416.25",61.49,"1,338.20",3.55,"1,524.51"
539,UA,United Air Lines,2013,11,"40,550.00","11,476.00","52,026.00","5,122,924.00","1,718,822.00","6,841,746.00",534.96,76.5,26.33,1.82,27.86,0.42,20.08,2.97,0.74,"4,203.87","1,365.14",127.3,"1,137.22",42.24,"1,531.96"
540,UA,United Air Lines,2013,12,"41,074.00","12,548.00","53,622.00","5,505,093.00","1,971,843.00","7,476,936.00",499.07,124.84,47.88,4.42,39.7,0,32.85,6.73,0.9,"6,734.02","2,439.19",284.49,"1,633.35",0,"2,376.99"
541,UA,United Air Lines,2014,1,"37,555.00","12,807.00","50,362.00","4,786,821.00","1,906,028.00","6,692,849.00",484.26,115.93,42.96,8.44,33.2,0,31.33,23.31,0.57,"7,396.10","2,627.14",684.98,"1,429.22",0,"2,654.77"
542,UA,United Air Lines,2014,2,"35,274.00","11,676.00","46,950.00","4,565,753.00","1,671,615.00","6,237,368.00",454.74,118.93,41.55,4.88,40.52,0,31.98,16.91,0.75,"7,021.43","2,325.90",379.7,"1,883.56",0,"2,432.26"
543,UA,United Air Lines,2014,3,"42,232.00","14,895.00","57,127.00","5,645,416.00","2,222,298.00","7,867,714.00",544.77,105.79,39.02,2.58,34.01,0,30.19,5.9,0.76,"5,812.68","2,027.23",177.22,"1,419.33",0,"2,188.90"
544,UA,United Air Lines,2014,4,"39,498.00","13,498.00","52,996.00","5,263,789.00","2,083,668.00","7,347,457.00",519.71,91.24,27.12,1.87,38.04,0,24.21,2.29,1.05,"4,744.72","1,399.91",102.76,"1,607.43",0,"1,634.62"
545,UA,United Air Lines,2014,5,"42,239.00","14,022.00","56,261.00","5,676,534.00","2,219,737.00","7,896,271.00",558.26,121.63,36.04,3.74,46.89,0.01,34.96,7.33,2.83,"7,821.30","2,058.14",295.8,"2,526.72",0.18,"2,940.45"
546,UA,United Air Lines,2014,6,"42,596.00","15,001.00","57,597.00","5,782,418.00","2,428,981.00","8,211,399.00",564.29,158.62,49.29,5.58,53.85,0,49.9,7.99,2.36,"9,901.03","2,816.74",527.46,"2,642.50",0.09,"3,914.24"
547,UA,United Air Lines,2014,7,"43,775.00","15,661.00","59,436.00","5,927,391.00","2,600,920.00","8,528,311.00",594.54,139.16,44.28,5.71,43.4,0.03,45.74,7.66,2.2,"8,680.04","2,518.69",473.53,"2,160.42",1.01,"3,526.39"
548,UA,United Air Lines,2014,8,"42,721.00","14,631.00","57,352.00","5,847,897.00","2,445,936.00","8,293,833.00",586.75,128.7,40.9,4.63,42.57,0,40.6,5.75,1.79,"7,568.36","2,213.37",356.66,"1,959.42",0,"3,038.90"
549,UA,United Air Lines,2014,9,"39,951.00","11,666.00","51,617.00","5,164,238.00","1,899,869.00","7,064,107.00",543.5,97.81,28.55,2.61,40.37,0.03,26.26,6.05,1.07,"5,560.92","1,526.01",182.65,"1,880.18",0.64,"1,971.45"
550,UA,United Air Lines,2014,10,"43,231.00","11,875.00","55,106.00","5,602,825.00","1,865,164.00","7,467,989.00",601.88,131.33,42.69,2.08,49.94,0.01,36.62,3.83,1.07,"7,210.89","2,164.01",163.44,"2,286.74",0.21,"2,596.49"
551,UA,United Air Lines,2014,11,"39,686.00","12,022.00","51,708.00","5,059,175.00","1,808,770.00","6,867,945.00",560.54,104.25,37.87,3.85,32.27,0,30.26,3.63,0.72,"5,899.52","1,957.58",241.55,"1,477.83",0,"2,222.56"
552,UA,United Air Lines,2014,12,"40,276.00","13,261.00","53,537.00","5,346,056.00","2,050,286.00","7,396,342.00",539.19,143.83,53.32,2.08,48.98,0.02,39.43,4.29,0.88,"8,102.65","2,607.47",118.51,"2,523.56",0.67,"2,852.45"
553,UA,United Air Lines,2015,1,"37,607.00","12,789.00","50,396.00","4,804,539.00","1,947,047.00","6,751,586.00",498.64,109.1,42.81,5.88,32.48,0.01,27.92,12.56,0.84,"6,337.31","2,254.08",429.78,"1,480.58",0.42,"2,172.45"
554,UA,United Air Lines,2015,2,"35,454.00","11,470.00","46,924.00","4,607,021.00","1,686,887.00","6,293,908.00",483.13,113.21,41.72,8.24,34.48,0,28.77,13.41,0.76,"6,291.81","2,176.29",495.32,"1,581.24",0,"2,038.96"
555,UA,United Air Lines,2015,3,"43,230.00","14,507.00","57,737.00","5,776,714.00","2,233,207.00","8,009,921.00",581.37,117.17,44.64,4.92,34.01,0,33.61,8.55,1.21,"7,020.03","2,347.13",416.96,"1,663.80",0,"2,592.13"
556,UA,United Air Lines,2015,4,"41,165.00","14,267.00","55,432.00","5,511,339.00","2,124,217.00","7,635,556.00",530.03,103.15,38.88,2.65,28.99,0,32.64,4.74,1.37,"6,329.73","2,149.36",226.03,"1,440.99",0,"2,513.36"
557,UA,United Air Lines,2015,5,"44,396.00","13,941.00","58,337.00","5,984,499.00","2,208,848.00","8,193,347.00",600.15,132.8,44.78,5.76,39.73,0.11,42.43,4.7,2.69,"8,230.59","2,380.41",511.28,"1,958.46",4.89,"3,375.55"
558,UA,United Air Lines,2015,6,"45,385.00","14,663.00","60,048.00","6,231,940.00","2,428,215.00","8,660,155.00",583.34,179.35,63.39,6.77,43.83,0,65.37,13.99,2.96,"12,517.16","3,882.38",541.86,"2,505.27",0,"5,587.66"
559,UA,United Air Lines,2015,7,"46,250.00","16,216.00","62,466.00","6,451,029.00","2,706,365.00","9,157,394.00",588.33,148.01,54.87,4.31,35.08,0,53.75,5.92,1.73,"9,950.01","3,393.56",305,"1,794.37",0,"4,457.09"
560,UA,United Air Lines,2015,8,"45,328.00","15,194.00","60,522.00","6,273,013.00","2,546,709.00","8,819,722.00",567.66,114.18,41.39,4.63,30.41,0.15,37.6,4.26,1.64,"7,211.15","2,316.58",353.5,"1,591.68",8.93,"2,940.48"
561,UA,United Air Lines,2015,9,"41,774.00","11,744.00","53,518.00","5,655,459.00","1,911,328.00","7,566,787.00",503.35,67.22,24.25,1.91,22.16,0.02,18.87,1.28,0.84,"4,015.00","1,384.01",124.83,980.43,1.41,"1,524.31"
562,UA,United Air Lines,2015,10,"45,892.00","11,731.00","57,623.00","6,329,169.00","1,896,879.00","8,226,048.00",539.93,64.24,24.54,0.97,19.49,0,19.23,1.51,1.06,"4,034.96","1,490.61",66.39,886.62,0,"1,591.34"
563,UA,United Air Lines,2015,11,"42,495.00","12,053.00","54,548.00","5,740,177.00","1,869,335.00","7,609,512.00",507.7,76.67,26.18,2.54,23.76,0.01,24.18,3.65,1.24,"5,578.30","1,702.29",267.24,"1,431.30",0.95,"2,176.52"
564,UA,United Air Lines,2015,12,"42,855.00","13,886.00","56,741.00","5,813,742.00","2,153,949.00","7,967,691.00",505.15,101.09,35.76,4.18,26.98,0,34.18,9.14,1.2,"8,024.06","2,476.74",400.36,"1,763.87",0,"3,383.08"
565,UA,United Air Lines,2016,1,"38,556.00","13,177.00","51,733.00","5,055,420.00","2,019,550.00","7,074,970.00",462.34,64.78,24.01,3.43,19.95,0.02,17.37,15.53,0.65,"3,989.77","1,437.90",193.97,"1,023.78",0.53,"1,333.59"
566,UA,United Air Lines,2016,2,"38,677.00","12,400.00","51,077.00","4,973,238.00","1,781,640.00","6,754,878.00",469.2,59.72,18.71,3.43,19.88,0,17.7,4.19,0.71,"4,502.73","1,256.34",286.61,"1,340.80",0,"1,618.99"
567,UA,United Air Lines,2016,3,"43,911.00","14,625.00","58,536.00","5,923,783.00","2,241,984.00","8,165,767.00",514.53,90.69,27.1,3.08,29.59,0.02,30.9,5.62,0.9,"6,255.98","1,856.99",234.27,"1,590.31",0.44,"2,573.97"
568,UA,United Air Lines,2016,4,"42,781.00","13,299.00","56,080.00","5,729,928.00","2,022,485.00","7,752,413.00",497.48,65.72,19.95,1.85,21.32,0,22.61,7.47,0.93,"4,451.06","1,343.54",155.67,"1,101.98",0,"1,849.87"
569,UA,United Air Lines,2016,5,"45,910.00","13,833.00","59,743.00","6,293,618.00","2,175,315.00","8,468,933.00",540.16,82.96,25.93,2.71,27.14,0,27.19,2.91,2.02,"5,692.08","1,665.46",288.6,"1,410.58",0,"2,327.45"
570,UA,United Air Lines,2016,6,"46,399.00","14,880.00","61,279.00","6,592,185.00","2,495,365.00","9,087,550.00",521.62,101.72,32.2,4.28,32.08,0,33.16,4.01,2.72,"7,207.81","2,080.93",416.13,"1,729.01",0,"2,981.73"
571,UA,United Air Lines,2016,7,"47,857.00","16,342.00","64,199.00","6,767,029.00","2,785,547.00","9,552,576.00",558.71,121.78,36.65,6.64,36.92,0,41.56,6.52,2.67,"9,456.41","2,512.35",694.66,"2,356.51",0,"3,892.88"
572,UA,United Air Lines,2016,8,"49,703.00","14,750.00","64,453.00","6,788,195.00","2,501,629.00","9,289,824.00",565.43,121.51,35.04,4.9,41.06,0.11,40.4,3.56,2.06,"8,172.08","2,175.08",370.24,"2,152.35",19.51,"3,454.90"
573,UA,United Air Lines,2016,9,"46,870.00","11,865.00","58,735.00","6,337,483.00","1,981,344.00","8,318,827.00",539.48,81.18,25.97,2.72,28.67,0,23.82,2.01,0.95,"5,233.44","1,667.33",178.44,"1,391.92",0,"1,995.75"
574,UA,United Air Lines,2016,10,"49,691.00","11,893.00","61,584.00","6,790,121.00","1,936,038.00","8,726,159.00",561.25,88.75,28.3,0.74,31.67,0.01,28.03,3.92,0.73,"5,643.85","1,721.34",46.65,"1,634.92",0.6,"2,240.35"
575,UA,United Air Lines,2016,11,"46,043.00","11,545.00","57,588.00","6,297,085.00","1,836,771.00","8,133,856.00",523.66,70.78,21.85,1.39,25.6,0,21.95,1.32,0.73,"4,426.23","1,341.95",140.39,"1,260.03",0,"1,683.85"
576,UA,United Air Lines,2016,12,"45,329.00","14,090.00","59,419.00","6,232,029.00","2,212,170.00","8,444,199.00",496.93,112.33,36.25,5.1,36.97,0.07,33.94,5.82,1.05,"7,717.55","2,170.68",556.02,"1,972.93",2.43,"3,015.48"
577,UA,United Air Lines,2017,1,"42,317.00","13,837.00","56,154.00","5,577,898.00","2,106,434.00","7,684,332.00",487.39,101.51,31.27,3.12,39.13,0.05,27.95,2.67,1.32,"7,085.10","2,175.92",260.69,"2,150.52",1.7,"2,496.28"
578,UA,United Air Lines,2017,2,"39,735.00","12,089.00","51,824.00","5,254,113.00","1,743,226.00","6,997,339.00",434.83,75.45,20.92,1.89,29.94,0.01,22.68,4.02,0.85,"5,332.87","1,420.79",197.9,"1,754.33",0.36,"1,959.49"
579,UA,United Air Lines,2017,3,"47,941.00","14,528.00","62,469.00","6,712,764.00","2,209,138.00","8,921,902.00",521.47,91.44,24.46,1.5,36.24,0,29.23,7.13,0.73,"6,040.65","1,635.70",120.55,"1,949.88",0,"2,334.52"
580,UA,United Air Lines,2017,4,"45,622.00","14,107.00","59,729.00","6,478,750.00","2,221,866.00","8,700,616.00",469.49,83.88,19.34,1.33,38.33,0,24.88,0.35,0.87,"5,804.01","1,287.76",102.31,"2,286.59",0,"2,127.35"
581,UA,United Air Lines,2017,5,"49,466.00","14,302.00","63,768.00","6,914,319.00","2,224,936.00","9,139,255.00",531.27,92.33,20.25,1.76,43.71,0,26.62,0.74,1.18,"6,479.54","1,506.29",219.3,"2,518.90",0,"2,235.04"
582,UA,United Air Lines,2017,6,"51,968.00","15,580.00","67,548.00","7,409,256.00","2,586,805.00","9,996,061.00",525.4,104.35,24.36,3.39,41.79,0.01,34.79,2.43,1.53,"7,768.45","1,932.48",303.58,"2,471.68",1.18,"3,059.54"
583,UA,United Air Lines,2017,7,"53,430.00","16,850.00","70,280.00","7,680,435.00","2,869,396.00","10,549,831.00",546.62,109.58,25.54,5.12,38.49,0,40.43,4.44,2.33,"8,745.03","2,001.33",523.89,"2,457.91",0,"3,761.91"
584,UA,United Air Lines,2017,8,"53,531.00","14,762.00","68,293.00","7,404,363.00","2,555,410.00","9,959,773.00",554.45,100.93,22.39,5.14,40.67,0.03,32.69,22.01,1.93,"7,042.59","1,523.43",509.21,"2,250.83",1.34,"2,757.78"
585,UA,United Air Lines,2017,9,"47,547.00","12,422.00","59,969.00","6,366,060.00","2,007,345.00","8,373,405.00",493.69,57.02,14.17,1.05,25.66,0,15.56,14.71,0.68,"3,394.83",905.89,89.15,"1,263.77",0.07,"1,135.95"
586,UA,United Air Lines,2017,10,"51,239.00","12,640.00","63,879.00","7,100,764.00","1,938,972.00","9,039,736.00",534.21,72.51,16.8,1.72,32.3,0.01,21.67,1.63,0.89,"4,878.26","1,071.09",174.35,"1,912.22",1.05,"1,719.54"
587,UA,United Air Lines,2017,11,"48,381.00","12,489.00","60,870.00","6,803,531.00","1,927,316.00","8,730,847.00",537.27,60.72,14.93,0.35,26.69,0,18.75,0.2,0.49,"3,906.40",995.69,28.87,"1,402.00",0,"1,479.84"
588,UA,United Air Lines,2017,12,"49,116.00","13,972.00","63,088.00","6,732,130.00","2,212,607.00","8,944,737.00",490.86,74.03,19.01,3.49,31.1,0,20.43,0.84,0.87,"4,598.83","1,204.33",306.74,"1,500.66",0,"1,587.10"
589,UA,United Air Lines,2018,1,"44,638.00","13,513.00","58,151.00","5,765,091.00","2,099,654.00","7,864,745.00",467.88,61.72,15.84,3.49,25.51,0,16.87,9.26,0.84,"3,947.30","1,007.19",329.67,"1,241.05",0,"1,369.39"
590,UA,United Air Lines,2018,2,"41,611.00","12,058.00","53,669.00","5,500,603.00","1,818,739.00","7,319,342.00",438.42,64.48,14.19,3.09,31.87,0.02,15.31,1.72,0.96,"3,953.88",890.84,300.56,"1,529.84",2.6,"1,230.04"
591,UA,United Air Lines,2018,3,"48,896.00","14,670.00","63,566.00","6,908,921.00","2,373,740.00","9,282,661.00",524.21,71.61,18.04,2,30.47,0,21.1,11.67,0.95,"4,665.06","1,197.63",239.98,"1,555.06",0,"1,672.39"
592,UA,United Air Lines,2018,4,"49,966.00","13,722.00","63,688.00","6,997,037.00","2,174,385.00","9,171,422.00",494.43,77.83,17.71,1.9,34.46,0,23.76,0.93,0.96,"5,255.18","1,241.76",230.55,"1,732.60",0,"2,050.26"
593,UA,United Air Lines,2018,5,"52,779.00","13,567.00","66,346.00","7,416,877.00","2,222,903.00","9,639,780.00",538.94,108.45,22.57,4.9,47.53,0,33.45,3.35,2.17,"7,983.64","1,665.00",505.56,"2,792.94",0,"3,020.14"
594,UA,United Air Lines,2018,6,"55,024.00","15,145.00","70,169.00","7,953,658.00","2,640,872.00","10,594,530.00",505.1,120.81,26.17,5.01,47.59,0.01,42.02,2.5,1.88,"8,692.03","1,915.59",479.96,"2,486.01",0.23,"3,810.24"
595,UA,United Air Lines,2018,7,"57,157.00","16,212.00","73,369.00","8,359,598.00","2,872,933.00","11,232,531.00",534.66,128.41,28.81,5.5,46.84,0,46.06,3.68,2.14,"9,676.70","2,237.01",601.4,"2,570.60",0,"4,267.69"
596,UA,United Air Lines,2018,8,"57,536.00","14,903.00","72,439.00","8,124,429.00","2,605,443.00","10,729,872.00",541.32,148.36,31.52,7.08,57.8,0,51.96,6.96,2.64,"11,640.83","2,439.14",795.01,"3,568.79",0,"4,837.89"
597,UA,United Air Lines,2018,9,"52,837.00","12,025.00","64,862.00","6,958,417.00","2,000,431.00","8,958,848.00",513.64,88.45,19.72,4.25,40.12,0.01,24.35,1.98,1.17,"6,159.38","1,434.58",457.13,"2,091.60",0.31,"2,175.76"
598,UA,United Air Lines,2018,10,"55,635.00","12,494.00","68,129.00","7,660,817.00","2,057,748.00","9,718,565.00",529.19,94.04,20.99,1.83,43.94,0,27.28,0.61,1.08,"5,535.80","1,374.27",215.55,"1,861.01",0,"2,084.97"
599,UA,United Air Lines,2018,11,"51,388.00","12,403.00","63,791.00","7,199,379.00","2,051,315.00","9,250,694.00",512.79,107.06,23.87,3.23,47.44,0,32.52,5.51,1.05,"7,249.41","1,624.56",494.73,"2,413.64",0,"2,716.47"
600,UA,United Air Lines,2018,12,"51,589.00","14,276.00","65,865.00","7,051,231.00","2,340,358.00","9,391,589.00",500.29,95.03,22.71,2.24,41.8,0,28.28,0.73,1.16,"5,926.52","1,516.21",148.46,"1,890.56",0,"2,371.29"
361,WN,Southwest Airlines,2009,1,"94,606.00",,"94,606.00","6,993,566.00",,"6,993,566.00","1,501.70",223.2,56.43,8.1,44.89,1,112.78,24.97,2.63,"10,074.64","2,342.69",538.64,"1,650.02",25.84,"5,517.45"
362,WN,Southwest Airlines,2009,2,"86,009.00",,"86,009.00","7,068,038.00",,"7,068,038.00","1,351.42",147.59,38.89,3.78,31,0.47,73.45,8.69,1.47,"6,527.19","1,621.11",245.06,"1,191.02",12.48,"3,457.52"
363,WN,Southwest Airlines,2009,3,"98,520.00",,"98,520.00","8,988,386.00",,"8,988,386.00","1,528.98",228.48,59.69,7.09,39.08,0.98,121.65,15.05,2.74,"11,171.57","2,503.17",577.45,"1,563.26",27.49,"6,500.20"
364,WN,Southwest Airlines,2009,4,"96,457.00",,"96,457.00","8,814,504.00",,"8,814,504.00","1,490.38",225.78,59.7,6.3,39.83,0.66,119.29,8.51,2.74,"11,541.00","2,592.05",505.54,"1,751.25",18.58,"6,673.58"
365,WN,Southwest Airlines,2009,5,"97,273.00",,"97,273.00","8,685,825.00",,"8,685,825.00","1,503.02",234.11,65.03,6.52,42.34,1.03,119.19,8.77,2.68,"11,079.40","2,759.92",432.94,"1,748.06",28.74,"6,109.74"
366,WN,Southwest Airlines,2009,6,"95,843.00",,"95,843.00","9,005,109.00",,"9,005,109.00","1,457.50",306.02,77.05,11.8,52.41,1.28,163.48,8.73,3.77,"15,987.83","3,362.26",997.56,"2,356.35",40.77,"9,230.89"
367,WN,Southwest Airlines,2009,7,"98,761.00",,"98,761.00","9,554,999.00",,"9,554,999.00","1,501.06",280.02,83.25,9.47,42.82,0.86,143.61,7.06,2.71,"12,447.52","3,378.59",591.09,"1,720.64",24.26,"6,732.94"
368,WN,Southwest Airlines,2009,8,"95,405.00",,"95,405.00","8,890,924.00",,"8,890,924.00","1,427.96",238.22,71.39,8.24,39.44,1.01,118.14,5.85,2.16,"11,893.48","3,122.84",583.28,"1,779.67",33.97,"6,373.72"
369,WN,Southwest Airlines,2009,9,"89,497.00",,"89,497.00","7,950,437.00",,"7,950,437.00","1,339.84",139.93,45.8,3.36,22.1,0.31,68.36,5.09,1.36,"5,735.87","1,789.93",201.48,793.18,8.75,"2,942.54"
370,WN,Southwest Airlines,2009,10,"92,670.00",,"92,670.00","8,776,079.00",,"8,776,079.00","1,389.55",298.19,81.37,4.41,54.39,0.86,157.17,7.91,1.87,"12,545.00","3,152.40",331.43,"2,013.64",22.33,"7,025.19"
371,WN,Southwest Airlines,2009,11,"89,286.00",,"89,286.00","8,255,414.00",,"8,255,414.00","1,317.99",98.63,36.26,1.85,15.39,0.13,45,5.62,0.97,"4,150.97","1,407.65",124.04,601,3.91,"2,014.37"
372,WN,Southwest Airlines,2009,12,"90,784.00",,"90,784.00","8,354,947.00",,"8,354,947.00","1,357.25",335.49,96,9.57,53.74,1.46,174.71,24.29,4.25,"16,447.15","4,085.10",720.94,"2,338.54",49.72,"9,252.84"
373,WN,Southwest Airlines,2010,1,"88,406.00",,"88,406.00","7,576,013.00",,"7,576,013.00","1,325.04",234.66,69.5,7.59,41.66,1.56,114.35,26.18,3.16,"10,836.28","2,867.25",515.75,"1,697.16",42.12,"5,714.00"
374,WN,Southwest Airlines,2010,2,"78,718.00",,"78,718.00","6,963,295.00",,"6,963,295.00","1,213.37",184.09,55,6.42,32.18,0.74,89.75,57.18,3.32,"8,692.75","2,233.87",445.99,"1,377.18",24.24,"4,611.49"
375,WN,Southwest Airlines,2010,3,"94,768.00",,"94,768.00","9,155,156.00",,"9,155,156.00","1,403.07",262.37,84.86,5.5,38.41,1.16,132.44,11.76,2.82,"12,071.12","3,555.43",413.75,"1,509.79",35.82,"6,556.32"
